,순위,가수,노래제목
0,1,LE SSERAFIM (르세라핌),Perfect Night
1,2,EXO,첫 눈
2,3,aespa,Drama
3,4,태연 (TAEYEON),To. X
4,5,임영웅,사랑은 늘 도망가
5,6,IVE (아이브),Baddie
6,7,임영웅,Do or Die
7,8,박재정,헤어지자 말해요
8,9,정국,Seven (feat. Latto) - Clean Ver.
9,10,임재현,비의 랩소디
10,11,임영웅,모래 알갱이
11,12,임영웅,우리들의 블루스
12,13,범진,인사
13,14,임영웅,다시 만날 수 있을까
14,15,제니 (JENNIE),You & Me
15,16,AKMU (악뮤),Love Lee
16,17,임영웅,이제 나만 믿어요
17,18,임영웅,무지개
18,19,정국,Standing Next to You
19,20,너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
20,21,임영웅,London Boy
21,22,IVE (아이브),I AM
22,23,임영웅,Polaroid
23,24,임영웅,아버지
24,25,이무진,에피소드
25,26,임영웅,인생찬가
26,27,AKMU (악뮤),후라이의 꿈
27,28,임영웅,A bientot
28,29,NewJeans,Super Shy
29,30,NewJeans,Ditto
30,31,임영웅,연애편지
31,32,우디 (Woody),사막에서 꽃을 피우듯
32,33,NewJeans,ETA
33,34,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
34,35,성시경,너의 모든 순간
35,36,IVE (아이브),Either Way
36,37,디오 (D.O.),별 떨어진다 (I Do)
37,38,폴킴,화이트 (White)
38,39,NewJeans,Hype Boy
39,40,볼빨간사춘기,사랑할 수밖에
40,41,(여자)아이들,퀸카 (Queencard)
41,42,Sia,Snowman
42,43,"다이나믹 듀오, 이영지","Smoke (Prod. Dynamicduo, Padi)"
43,44,RIIZE,Get A Guitar
44,45,PLAVE,Merry PLLIstmas
45,46,IVE (아이브),Off The Record
46,47,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
47,48,방탄소년단,Dynamite
48,49,Mariah Carey,All I Want for Christmas Is You
49,50,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",크리스마스니까
50,51,세븐틴 (SEVENTEEN),음악의 신
51,52,Red Velvet (레드벨벳),Chill Kill
52,53,"성시경, 나얼",잠시라도 우리
53,54,방탄소년단,봄날
54,55,전소미,Fast Forward
55,56,멜로망스,사랑인가 봐
56,57,임한별,사랑하지 않아서 그랬어
57,58,aespa,Spicy
58,59,QWER,Discord
59,60,윤하 (YOUNHA),사건의 지평선
60,61,NewJeans,OMG
61,62,IVE (아이브),Kitsch
62,63,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
63,64,김민석,취중고백
64,65,이무진,눈이 오잖아(Feat.헤이즈)
65,66,Ariana Grande,Santa Tell Me
66,67,아이유,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ)
67,68,방탄소년단,Butter
68,69,DK(디셈버),심(心)
69,70,IVE (아이브),LOVE DIVE
70,71,"NewJeans, League of Legends",GODS
71,72,Lauv,Steal The Show (From “엘리멘탈”)
72,73,허각,물론
73,74,STAYC(스테이씨),Bubble
74,75,IVE (아이브),After LIKE
75,76,로이킴,"그대가 있는 곳, 언제 어디든"
76,77,Charlie Puth,I Don't Think That I Like Her
77,78,잔나비,주저하는 연인들을 위해
78,79,김호중,그중에 그대를 만나
79,80,PLAVE,여섯 번째 여름
80,81,"정국, Jack Harlow",3D (feat. Jack Harlow)
81,82,#안녕,해요 (2022)
82,83,"경서예지, 전건호",다정히 내 이름을 부르면
83,84,세븐틴 (SEVENTEEN),손오공
84,85,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
85,86,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
86,87,NCT 127,Be There For Me
87,88,VIVIZ (비비지),MANIAC
88,89,Charlie Puth,Dangerously
89,90,정국,Yes or No
90,91,화사 (HWASA),I Love My Body
91,92,지민,Closer Than This
92,93,NewJeans,Attention
93,94,지아,사랑..그게 뭔데
94,95,탑현,나에게 그대만이
95,96,Ariana Grande,Last Christmas
96,97,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
97,98,NCT 127,Fact Check (불가사의; 不可思議)
98,99,순순희(기태),그대가 내 안에 박혔다(그내박)
99,100,PLAVE,Dear. PLLI
